instances,features,targets,Single Target,Regression Tree,RT Depth,NN,NN Steps
100,10,2,0.6096535601388735,0.9383988677529882,3,5.377064684128217e-07,500
100,10,4,0.5979790859352436,0.8972936278630739,4,1.697910518723165e-06,1000
100,10,8,0.6228139638847622,0.8686827068451747,5,2.9415862619810843e-06,5000
100,10,16,0.6455290525786849,0.9038332069298857,7,6.094681632874427e-06,5000
100,10,32,0.5670043535409605,0.8248698857977439,1,1.2284625306365359e-05,5000
100,30,2,0.8287480406426104,0.9912770504096371,1,1.030029405313049e-06,5000
100,30,4,0.7357847959611121,0.9751397068730998,0,3.181057957798421e-06,5000
100,30,8,0.729969251024187,0.9167045469566699,7,4.9885054504505316e-06,5000
100,30,16,0.7221834174609885,1.0040058734058739,0,9.923157056917167e-06,5000
100,30,32,0.7530023308440581,1.002930171762585,3,0.0012824569334658176,5000
100,60,2,0.9672437467290955,1.1492510863109513,6,0.00033981825805620946,5000
100,60,4,0.7471310708499009,0.7967904261831107,5,0.0069451504515941915,5000
100,60,8,0.7478830795542761,0.9447236223447313,0,0.015550026104493393,5000
100,60,16,0.6865917704331981,1.0693494748312333,0,0.052196048201593986,5000
100,60,32,0.7772157461676135,1.0866733849206591,0,0.10115712224981166,5000
100,100,2,0.735960073599289,0.8286617452243288,1,0.5155420704539871,1000
100,100,4,0.6623438384660614,0.853398236327956,2,0.45745064662253976,500
100,100,8,0.7535999629095547,1.0082925530273488,0,0.4064306408672506,5000
100,100,16,0.7667220114264326,1.0734355985068185,3,0.49558969691311483,5000
100,100,32,0.8132590007042676,1.055931326534436,0,0.5247564001122075,5000
100,200,2,0.8225903215954453,1.0680405746366601,8,0.8421184861137984,5000
100,200,4,0.6942597682521453,0.8955042391549184,1,0.7203581025451964,5000
100,200,8,0.9024107546371096,1.1529817550740098,0,0.8239431235396945,500
100,200,16,0.8542407706608518,1.0591575832385889,0,0.7092549085226038,5000
100,200,32,0.8640007264336873,0.9944420198734465,0,0.716507061499751,5000
1000,10,2,0.2786067283648829,0.8013189865334638,5,4.450875121124395e-07,500
1000,10,4,0.31282529267346926,0.8475106050836535,7,8.813496245838014e-07,5000
1000,10,8,0.31208110762415664,0.8605353059276912,3,1.8501062621604942e-06,1000
1000,10,16,0.31046472361793587,0.8323363427129609,6,3.564759933733833e-06,5000
1000,10,32,0.333958498203016,0.9156617309629485,3,7.917417980373124e-06,5000
1000,30,2,0.30334444002301064,0.6774491505428687,6,4.1963179264523327e-07,500
1000,30,4,0.3052055792206117,0.7385451565640124,4,8.865092300289322e-07,500
1000,30,8,0.29966013800440533,0.8546654682589601,6,1.8606329978806629e-06,1000
1000,30,16,0.3089619821398676,0.8574042672275801,4,4.1195489134080115e-06,5000
1000,30,32,0.33312198634700196,0.8848905692102772,3,7.804485711554537e-06,5000
1000,60,2,0.36249544729738253,0.8248813461790412,4,5.05900825138015e-07,5000
1000,60,4,0.3492376048430137,0.832581671256442,3,9.985864889469665e-07,5000
1000,60,8,0.3426707918258408,0.7858316349035533,6,2.0251149102890656e-06,5000
1000,60,16,0.3298753970845632,0.8697618399977076,4,4.058416564211736e-06,5000
1000,60,32,0.33312267505110776,0.9014415959439804,4,8.527137325704415e-06,5000
1000,100,2,0.31858057344947976,0.8497980939262046,3,4.732673083436726e-07,1000
1000,100,4,0.31937464298314816,0.8018907705459459,4,9.7563242489779e-07,5000
1000,100,8,0.32000612253015476,0.787646445137709,4,2.1650388071148444e-06,5000
1000,100,16,0.3116985859864658,0.822866420638105,4,4.429212796629248e-06,5000
1000,100,32,0.30420769237579026,0.9334559166595533,3,9.191278796767374e-06,5000
1000,200,2,0.34102651168129217,0.8929155413437122,4,5.794775265052566e-07,1000
1000,200,4,0.3235475908597208,0.8871051823318289,2,1.2381760708796038e-06,5000
1000,200,8,0.3153182930451776,0.8933792508864147,3,2.702069624496567e-06,5000
1000,200,16,0.33047245317262314,0.8679200076209164,2,5.6529573194975825e-06,5000
1000,200,32,0.33433292529406433,0.8800832196387892,2,1.4046040599141462e-05,5000
10000,10,2,0.2348501790890949,0.6634067131214452,9,4.099220344967016e-07,1000
10000,10,4,0.22059280042298895,0.6898521246381877,8,8.345145205545868e-07,1000
10000,10,8,0.20565614665104115,0.6939148887727828,9,1.751608253755421e-06,1000
10000,10,16,0.20376969638863957,0.6864633501872971,9,3.581066281993204e-06,1000
10000,10,32,0.21910614646244853,0.688045075181009,8,7.060439709755619e-06,5000
10000,30,2,0.24093529041657213,0.7404707927699252,7,3.961117470489572e-07,5000
10000,30,4,0.22204335961018257,0.7277651438984051,7,8.261640671448822e-07,1000
10000,30,8,0.22455563694760838,0.7302966889871803,9,1.7245712203447295e-06,5000
10000,30,16,0.2155528164287634,0.7182711054356233,7,3.3872890366134816e-06,5000
10000,30,32,0.2164141911442305,0.7238072141657291,8,6.979334290266869e-06,5000
10000,60,2,0.21609209582295005,0.6767546765844497,7,4.170890415509704e-07,5000
10000,60,4,0.20496996635553993,0.6950575079885746,7,9.01405670475887e-07,5000
10000,60,8,0.21281704303432844,0.7139393477341289,7,1.7895627232815709e-06,5000
10000,60,16,0.21848386670259368,0.7361671892612738,7,3.5884564076306025e-06,5000
10000,60,32,0.21675355315030423,0.7442528568989485,7,7.21692320462452e-06,5000
10000,100,2,0.20347976607916063,0.6518810943616581,7,4.073279533737879e-07,5000
10000,100,4,0.21139009872758727,0.6862779498827468,7,8.440426639375964e-07,500
10000,100,8,0.2151615493606155,0.7491240834184617,7,1.7038922442480876e-06,5000
10000,100,16,0.22059157239565957,0.7444261161843518,7,3.4871902701413875e-06,5000
10000,100,32,0.22092684073984425,0.7290426458286394,7,7.131528830055999e-06,5000
10000,200,2,0.23061580500202494,0.6823890779927199,7,3.8462552653927247e-07,500
10000,200,4,0.22074996779930542,0.6980549188409605,6,8.27527953134003e-07,5000
10000,200,8,0.2354395200465237,0.7247581173892608,7,1.7686807684218116e-06,5000
10000,200,16,0.22180514574987437,0.7471780063354649,7,3.6406830609784193e-06,5000
10000,200,32,0.2171602984381918,0.7523382987079551,7,7.297357881621392e-06,5000
50000,10,2,0.19582921297695802,0.5349183806463096,9,4.191085754114896e-07,500
50000,10,4,0.19413346498776968,0.5960608510716451,9,8.480164206975727e-07,1000
50000,10,8,0.19298772067302622,0.637966679115151,9,1.7883407001880813e-06,1000
50000,10,16,0.19851152510072537,0.6489065385491746,9,3.5666117431033946e-06,5000
50000,10,32,0.1981117286507889,0.6445802989894528,9,7.201823068082425e-06,5000
50000,30,2,0.18575108828923909,0.5735453609000074,9,4.32739180917686e-07,500
50000,30,4,0.18529312650109792,0.6167245210101928,9,8.335428334662364e-07,500
50000,30,8,0.1962118440110696,0.6456397820426573,9,1.7149913639735532e-06,5000
50000,30,16,0.19527985512770352,0.6517188561641802,9,3.4453237507978477e-06,5000
50000,30,32,0.19522536694964746,0.6552511578945072,9,7.042353178894109e-06,5000
50000,60,2,0.19524910258433287,0.5441225395114964,9,3.822687700765104e-07,5000
50000,60,4,0.1988012263134172,0.6373016966403371,9,8.075990619080509e-07,500
50000,60,8,0.1977197404944354,0.6332095072665133,9,1.6896357477392131e-06,5000
50000,60,16,0.19661426456703765,0.6504412336123109,9,3.482378307438271e-06,5000
50000,60,32,0.19872297821573656,0.6579631617487596,9,6.968054196264971e-06,5000
50000,100,2,0.18912110805057386,0.5640942415063563,9,4.097646645771727e-07,500
50000,100,4,0.1919148768075411,0.6351872576510839,9,8.02650678951655e-07,5000
50000,100,8,0.2042902343649949,0.6541900571795873,9,1.6870242038700298e-06,5000
50000,100,16,0.19872552549374906,0.6515132370650472,9,3.4325111020558775e-06,5000
50000,100,32,0.19898238194612283,0.6582374085715983,9,6.9900684973049985e-06,5000
50000,200,2,0.1930158010476295,0.5442082998008269,9,4.040607779182067e-07,5000
50000,200,4,0.1871440977484381,0.561159327174674,9,8.400034401544233e-07,5000
50000,200,8,0.1899893961510854,0.6511132699558122,9,1.7473238482735642e-06,1000
50000,200,16,0.1934320321830772,0.658245595150887,9,3.587521991181748e-06,1000
50000,200,32,0.1974932801617967,0.6541861824573095,9,7.102807766770936e-06,5000
